n,r,m
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肝脏等内脏器官完好', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠道发现有黄白脓汁', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '头部', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体高而侧扁', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '侧扁', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '高大于长', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '吻钝', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '前端几呈截形', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '眼小', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '口小', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '身体和胸部鳞片多埋于皮下', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '胸鳍较宽', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '短于头长', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '尾鳍叉形', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '背部蓝青色', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '腹部银色', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体侧无黑色点', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '奇鳍边缘浅黑色', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '尾柄短细', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '头小', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '尾柄细短', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '枕骨嵴明显', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '前端几截形', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '吻长大于眼径', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '脂眼睑不发达', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鼻孔每侧2个', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '前鼻孔近圆形', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '后鼻孔裂缝状', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '前颌骨能伸缩', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '上颌骨后端伸达眼前缘或稍后下方', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '上下颌、犁骨和腭骨均有绒毛状齿', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '长大后齿渐退化', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '上下唇有许多绒毛状小突起', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳃孔大', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '前鳃盖骨和鳃盖骨后缘光滑', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体和胸部鳞片多少埋于皮下', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '第二背鳍与臀鳍有一低的鳞鞘', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '侧线前部稍呈波状', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '侧线上无棱鳞', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '成鱼的膜渐退化', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '臀鳍与第二背鳍相对', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '第二背鳍基底长', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '前部鳍条延长呈镰状', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '尾鳍分叉', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体侧无黑点', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '奇鳍边缘淡黑色', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳞片不易脱落', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳍条', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肉质细腻', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '滋味鲜美', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '腐败变质', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '吃料速度下降', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '养殖周期短', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '且对环境具有较强的适应能力', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '内脏稍肿大', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表完好', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '脾脏和肝脏有灰白色结节', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '摄食及活动能力下降', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '脾脏和肾脏出现灰白色结节', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '内脏出现灰白色结节', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳍条充血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳃丝、肝、肠壁严重充血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '脾肾出血严重', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳃和多数内脏均出现大量白色结节', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '卵形鲳鲹', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: ':鳍条基部出血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '眼浑浊', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '离群独游', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '少量于水面狂游', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '异常转圈游泳', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '身体弯曲', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体色暗黑', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳃盖、鳍条等部位出血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '眼球突出、浑浊', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '内脏出血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '腹腔积水或积血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '暴发性死亡', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '败血症', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳍条基部出血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '在水面狂游', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表出现直径0.5毫米~1毫米的白色斑点', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '一侧或两侧眼球突出', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '发炎、坏死或脱落', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '病鱼常浮于水面', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '头部皮肤、鳍及鳃上粘液分泌增多', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '表皮出现不规则的白斑点', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '白斑会连成一大片', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '向网衣上擦身', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鱼胸鳍向前僵直', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '车轮虫病', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '浮于水表面', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表面粘液分泌过多', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '皮肤溃疡病', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '缓慢地浮游于水面', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '色鳍基部、躯干部等发红或出现斑点状出血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '患处呈出血性溃痪', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '病鱼离群独游', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '完全不摄食', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠壁局部充血，发炎', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '病鱼活力差', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '病鱼游动异常', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '随水无力流动', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '浮于水面作盘旋游动', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '水中狂奔', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '生长正常', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '在背部、尾鳍部、下腹部出现明显疖疮', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '23种脂肪酸', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '不饱和脂肪酸占脂肪酸总量的64%', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '23种主要脂肪酸', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '不同组织器官内的总脂质含量约为10%～50%', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肝脏组织中的总脂质含量最高', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '白色肌肉中含量最低', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '脾脏和白色肌肉中高不饱和脂肪酸的比例较高', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肝脏中的饱和脂肪酸和MUFA含量较高', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: 'PUFA含量较低', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表出现直径0.5~1.0mm的白色斑点', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '黏液增多', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳞片不均匀脱落', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鱼体机能失调', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '抵抗力下降', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鱼体呼吸困难', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鱼体免疫机能下降', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鲜嫩的肉质', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '较高的营养价值', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表呈暗黑色', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠道内无残留食物', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '局部充血、肿胀肠黏膜溃烂', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '黄色刺激性气味黏液', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '黄色黏液从肛门及破溃处流出', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '活动力减弱', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '进食异常', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体型偏小', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '头部充血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '眼球肿胀凸起，甚至脱落', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠道内有大量黄白色脓状物', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '脑干发红', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳃盖出血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鱼体肿胀', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肝脏和脾脏充血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠道有淡黄色溢出物', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '背鳍和尾鳍出现不同程度的溃烂', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体黑', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '身体失去平衡', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '浮在水面上靠边不动', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '呈螺旋状游动', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳔充气肿大', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '身体活力减退', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '无食欲', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '腹腔积水严重', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肾脏和脾脏出现明显的病变', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '暗红肿大', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '许多的灰白色结节', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '病鱼体色正常', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '游泳速度减慢', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '食欲逐渐减退等现象', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '挤压腹部，肛门处有黄色黏稠状物质排出', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '腹腔有积水', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠道红肿发炎', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '烂身', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '身体、背鳍、吻端或眼部溃烂', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '离群漫游', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表黏液增多', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '背鳍发黑', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鱼体腹部常伴有积水', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肛门发红、肿胀', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肝脏呈灰白色', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '身体各鳍条基部发生点状出血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '眼球突出充血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肝门红肿', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳃丝暗红充血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肝脾糜烂肿大发白', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '腹腔积聚许多淡黄色液体', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠壁松弛发红积水', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '漂浮水面缓慢游动', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '拒食', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肝脾肿大', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '有许多边缘较清晰的白色似颗粒状结节', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '身体游动正常', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体色食欲正常', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '在体表背鳍、尾鳍甚至在鱼体腹部周围都出现明显的疥疮', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '疥疮发红轻微溃烂并带有浓汁', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '皮肤溃疡', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '焦躁不安', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '时而狂游', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '时而靠网边不断摩擦', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '浮于水面死亡', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '进食速度下降', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表黏液增加', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '外观正常', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '食欲低下', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '沿着水边狂游且速度极快', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '急速打转', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '病鱼动作迟钝', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '焦躁不安靠网边不断摩擦', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '一动不动', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '驱赶时游动缓慢', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表呈现一粒粒白斑', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体色变黑', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '进食缓慢', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '动作迟钝', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '靠边停滞不动', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '尾鳍和胸鳍的鳍条出现溃烂', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '眼球突出有轻微出血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体型较大', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肉细嫩', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '味鲜美', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '消化快', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '生长速度很快', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '摄食旺盛', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '生长快', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表粘液消失', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '皮肤退色变黑', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠道有大量黄白脓汁', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠道有大量黄白脓汁与固体物', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '黑身', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体消', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '在池边游动', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '速度慢', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '食料速度下降', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体色偏暗', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '色彩不够鲜艳', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '狂燥', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '少摄食', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '营养不足', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体色暗淡甚至发黑', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '食料速度大幅下降', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '游泳无力', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体色暗淡', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳃丝、体表出现白点', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '无肌间刺', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '性成熟较晚', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '其肉无刺', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳍基、肛门或身躯出血色', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '圆形', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '表面光滑', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '边缘整齐、约0.6mm', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '缺氧', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '腹腔有积液', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳍基和肛门出血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳃部呈现出明显的出血和充血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '脾脏和肝脏肿大并有出血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '口裂始于眼下缘水平线上', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '头部除眼后部有鳞以外均裸露', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '同形', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳍条金黄色', label: '生物学特征'})"
(:EntityType {label: '研究目标名称'}),[:具有],"(:Entity {name: '金鲳鱼', label: '研究目标名称'})"
(:EntityType {label: '研究目标名称'}),[:具有],"(:Entity {name: '黄腊鲳', label: '研究目标名称'})"
(:EntityType {label: '研究目标名称'}),[:具有],"(:Entity {name: '鲳鱼的', label: '研究目标名称'})"
(:EntityType {label: '研究目标名称'}),[:具有],"(:Entity {name: '卵形鲳鲹', label: '研究目标名称'})"
(:EntityType {label: '研究目标名称'}),[:具有],"(:Entity {name: '卵形鲳鯵', label: '研究目标名称'})"
(:EntityType {label: '研究目标名称'}),[:具有],"(:Entity {name: '神经坏死病毒', label: '研究目标名称'})"
